Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Almeria,11,2,7,4,14,27,18,20,41
Ath Bilbao,9,3,8,8,10,28,19,29,33
Ath Madrid,13,7,7,5,6,47,33,23,34
Barcelona,14,13,6,2,3,61,44,14,21
Betis,4,6,12,7,9,24,27,25,33
Espanol,8,4,11,6,9,28,18,22,27
Getafe,7,3,12,8,8,27,23,23,33
La Coruna,10,6,10,3,9,30,18,18,29
Malaga,8,7,10,4,9,28,27,23,36
Mallorca,9,5,9,4,11,33,20,24,36
Numancia,9,1,5,7,16,23,15,22,47
Osasuna,8,2,13,6,9,27,14,22,25
Real Madrid,14,11,3,3,7,49,34,29,23
Recreativo,4,4,9,11,10,17,17,29,28
Santander,5,7,10,6,10,28,21,22,26
Sevilla,11,10,7,6,4,28,26,20,19
Sp Gijon,8,6,1,10,13,24,23,37,42
Valencia,12,6,8,3,9,47,21,26,28
Valladolid,8,4,7,6,13,22,24,17,41
Villarreal,12,6,11,4,5,33,28,25,29
