Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Barcelona,87,27,5,6,105,35,70,2.763157894736842,0.9210526315789473,1.206896551724138
Real Madrid,78,25,10,3,83,52,31,2.1842105263157894,1.368421052631579,1.064102564102564
Sevilla,70,21,10,7,54,39,15,1.4210526315789473,1.0263157894736843,0.7714285714285715
Ath Madrid,67,20,11,7,80,57,23,2.1052631578947367,1.5,1.1940298507462686
Villarreal,65,18,9,11,61,54,7,1.605263157894737,1.4210526315789473,0.9384615384615385
Valencia,62,18,12,8,68,54,14,1.7894736842105263,1.4210526315789473,1.096774193548387
La Coruna,58,16,12,10,48,47,1,1.263157894736842,1.236842105263158,0.8275862068965517
Malaga,55,15,13,10,55,59,-4,1.4473684210526316,1.5526315789473684,1.0
Mallorca,51,14,15,9,53,60,-7,1.394736842105263,1.5789473684210527,1.0392156862745099
Espanol,47,12,15,11,46,49,-3,1.2105263157894737,1.2894736842105263,0.9787234042553191
Almeria,46,13,18,7,45,61,-16,1.1842105263157894,1.605263157894737,0.9782608695652174
Santander,46,12,16,10,49,48,1,1.2894736842105263,1.263157894736842,1.065217391304348
Ath Bilbao,44,12,18,8,47,62,-15,1.236842105263158,1.631578947368421,1.0681818181818181
Osasuna,43,10,15,13,41,47,-6,1.0789473684210527,1.236842105263158,0.9534883720930233
Sp Gijon,43,14,23,1,47,79,-32,1.236842105263158,2.0789473684210527,1.0930232558139534
Valladolid,43,12,19,7,46,58,-12,1.2105263157894737,1.5263157894736843,1.069767441860465
Betis,42,10,16,12,51,58,-7,1.3421052631578947,1.5263157894736843,1.2142857142857142
Getafe,42,10,16,12,50,56,-6,1.3157894736842106,1.4736842105263157,1.1904761904761905
Numancia,35,10,23,5,38,69,-31,1.0,1.8157894736842106,1.0857142857142856
Recreativo,33,8,21,9,34,57,-23,0.8947368421052632,1.5,1.0303030303030303
