Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Augsburg,6,2,14,4,8,20,16,19,30
Bayern Munich,14,9,4,2,5,49,28,6,16
Dortmund,14,11,6,1,2,44,36,12,13
FC Koln,5,3,6,8,12,20,19,29,46
Freiburg,6,4,10,5,9,24,21,20,41
Hamburg,3,5,12,7,7,19,16,29,28
Hannover,10,2,12,0,10,31,10,17,28
Hertha,4,3,10,10,7,19,19,29,35
Hoffenheim,4,6,11,4,9,21,20,17,30
Kaiserslautern,2,2,11,10,9,12,12,28,26
Leverkusen,8,7,9,5,5,28,24,24,20
M'gladbach,9,8,9,1,7,29,20,10,14
Mainz,7,2,12,7,6,27,20,26,25
Nurnberg,6,6,6,7,9,22,16,25,24
Schalke 04,13,7,4,3,7,47,27,14,30
Stuttgart,10,5,8,4,7,36,27,17,29
Werder Bremen,8,3,9,5,9,31,18,23,35
Wolfsburg,10,3,5,5,11,29,18,22,38
