Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Bayern Munich,88,28,2,4,80,17,63,2.3529411764705883,0.5,0.9090909090909091
Dortmund,78,24,4,6,82,34,48,2.411764705882353,1.0,1.0512820512820513
Leverkusen,60,18,10,6,56,40,16,1.6470588235294117,1.1764705882352942,0.9333333333333333
M'gladbach,55,17,13,4,67,50,17,1.9705882352941178,1.4705882352941178,1.2181818181818183
Schalke 04,52,15,12,7,51,49,2,1.5,1.4411764705882353,0.9807692307692307
Hertha,50,14,12,8,42,42,0,1.2352941176470589,1.2352941176470589,0.84
Mainz,50,14,12,8,46,42,4,1.3529411764705883,1.2352941176470589,0.92
Wolfsburg,45,12,13,9,47,49,-2,1.3823529411764706,1.4411764705882353,1.0444444444444445
FC Koln,43,10,11,13,38,42,-4,1.1176470588235294,1.2352941176470589,0.8837209302325582
Hamburg,41,11,15,8,40,46,-6,1.1764705882352942,1.3529411764705883,0.975609756097561
Ingolstadt,40,10,14,10,33,42,-9,0.9705882352941176,1.2352941176470589,0.825
Augsburg,38,9,14,11,42,52,-10,1.2352941176470589,1.5294117647058822,1.105263157894737
Darmstadt,38,9,14,11,38,53,-15,1.1176470588235294,1.5588235294117647,1.0
Werder Bremen,38,10,16,8,50,65,-15,1.4705882352941178,1.911764705882353,1.3157894736842106
Hoffenheim,37,9,15,10,39,54,-15,1.1470588235294117,1.588235294117647,1.054054054054054
Ein Frankfurt,36,9,16,9,34,52,-18,1.0,1.5294117647058822,0.9444444444444444
Stuttgart,33,9,19,6,50,75,-25,1.4705882352941178,2.2058823529411766,1.5151515151515151
Hannover,25,7,23,4,31,62,-31,0.9117647058823529,1.8235294117647058,1.24
