Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Augsburg,3,6,11,8,6,18,24,27,25
Bayern Munich,15,13,4,1,1,51,29,8,9
Darmstadt,2,7,11,9,5,15,23,29,24
Dortmund,14,10,6,0,4,49,33,14,20
Ein Frankfurt,6,3,9,5,11,22,12,24,28
FC Koln,5,5,13,7,4,16,22,18,24
Hamburg,5,6,8,8,7,20,20,23,23
Hannover,4,3,4,13,10,15,16,30,32
Hertha,9,5,8,3,9,24,18,15,27
Hoffenheim,6,3,10,5,10,22,17,25,29
Ingolstadt,7,3,10,5,9,22,11,18,24
Leverkusen,10,8,6,4,6,31,25,17,23
M'gladbach,13,4,4,3,10,42,25,18,32
Mainz,8,6,8,5,7,23,23,18,24
Schalke 04,8,7,7,4,8,28,23,24,25
Stuttgart,6,3,6,10,9,22,28,32,43
Werder Bremen,5,5,8,7,9,27,23,30,35
Wolfsburg,9,3,9,3,10,32,15,17,32
