Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Alaves,7,7,13,4,7,19,22,21,22
Ath Bilbao,13,6,6,2,11,36,17,18,25
Ath Madrid,14,9,9,3,3,40,30,14,13
Barcelona,15,13,6,1,3,64,52,17,20
Betis,6,4,9,6,13,22,19,24,40
Celta,9,4,6,8,11,30,23,32,37
Eibar,10,5,9,6,8,29,27,21,30
Espanol,8,7,11,6,6,28,21,24,26
Granada,4,0,8,11,15,17,13,32,50
La Coruna,7,1,12,7,11,27,16,23,38
Las Palmas,9,1,9,4,15,33,20,25,49
Leganes,5,3,11,8,11,22,14,23,32
Malaga,10,2,10,7,9,32,17,25,30
Osasuna,2,2,10,10,14,23,17,39,55
Real Madrid,14,15,6,1,2,48,58,20,21
Sevilla,14,7,9,1,7,39,30,16,33
Sociedad,10,9,7,4,8,30,29,24,29
Sp Gijon,5,2,10,10,11,26,16,38,34
Valencia,8,5,7,7,11,32,24,32,33
Villarreal,11,8,10,4,5,35,21,18,15
