Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Real Madrid,93,29,3,6,106,41,65,2.789473684210526,1.0789473684210527,1.1397849462365592
Barcelona,90,28,4,6,116,37,79,3.0526315789473686,0.9736842105263158,1.288888888888889
Ath Madrid,78,23,6,9,70,27,43,1.8421052631578947,0.7105263157894737,0.8974358974358975
Sevilla,72,21,8,9,69,49,20,1.8157894736842106,1.2894736842105263,0.9583333333333334
Villarreal,67,19,9,10,56,33,23,1.4736842105263157,0.868421052631579,0.835820895522388
Sociedad,64,19,12,7,59,53,6,1.5526315789473684,1.394736842105263,0.921875
Ath Bilbao,63,19,13,6,53,43,10,1.394736842105263,1.131578947368421,0.8412698412698413
Espanol,56,15,12,11,49,50,-1,1.2894736842105263,1.3157894736842106,0.875
Alaves,55,14,11,13,41,43,-2,1.0789473684210527,1.131578947368421,0.7454545454545455
Eibar,54,15,14,9,56,51,5,1.4736842105263157,1.3421052631578947,1.037037037037037
Malaga,46,12,16,10,49,55,-6,1.2894736842105263,1.4473684210526316,1.065217391304348
Valencia,46,13,18,7,56,65,-9,1.4736842105263157,1.7105263157894737,1.2173913043478262
Celta,45,13,19,6,53,69,-16,1.394736842105263,1.8157894736842106,1.1777777777777778
Betis,39,10,19,9,41,64,-23,1.0789473684210527,1.6842105263157894,1.0512820512820513
Las Palmas,39,10,19,9,53,74,-21,1.394736842105263,1.9473684210526316,1.358974358974359
La Coruna,36,8,18,12,43,61,-18,1.131578947368421,1.605263157894737,1.1944444444444444
Leganes,35,8,19,11,36,55,-19,0.9473684210526315,1.4473684210526316,1.0285714285714285
Sp Gijon,31,7,21,10,42,72,-30,1.105263157894737,1.894736842105263,1.3548387096774193
Osasuna,22,4,24,10,40,94,-54,1.0526315789473684,2.473684210526316,1.8181818181818181
Granada,20,4,26,8,30,82,-52,0.7894736842105263,2.1578947368421053,1.5
