Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Real Madrid,87,26,3,9,70,25,45,1.8421052631578947,0.6578947368421053,0.8045977011494253
Barcelona,82,25,6,7,86,38,48,2.263157894736842,1.0,1.048780487804878
Ath Madrid,70,18,4,16,51,27,24,1.3421052631578947,0.7105263157894737,0.7285714285714285
Sevilla,70,19,6,13,54,34,20,1.4210526315789473,0.8947368421052632,0.7714285714285715
Villarreal,60,18,14,6,63,49,14,1.6578947368421053,1.2894736842105263,1.05
Granada,56,16,14,8,52,45,7,1.368421052631579,1.1842105263157894,0.9285714285714286
Sociedad,56,16,14,8,56,48,8,1.4736842105263157,1.263157894736842,1.0
Getafe,54,14,12,12,43,37,6,1.131578947368421,0.9736842105263158,0.7962962962962963
Valencia,53,14,13,11,46,53,-7,1.2105263157894737,1.394736842105263,0.8679245283018868
Osasuna,52,13,12,13,46,54,-8,1.2105263157894737,1.4210526315789473,0.8846153846153846
Ath Bilbao,51,13,13,12,41,38,3,1.0789473684210527,1.0,0.803921568627451
Levante,49,14,17,7,47,53,-6,1.236842105263158,1.394736842105263,0.9591836734693877
Eibar,42,11,18,9,39,56,-17,1.0263157894736843,1.4736842105263157,0.9285714285714286
Valladolid,42,9,14,15,32,43,-11,0.8421052631578947,1.131578947368421,0.7619047619047619
Betis,41,10,17,11,48,60,-12,1.263157894736842,1.5789473684210527,1.170731707317073
Alaves,39,10,19,9,34,59,-25,0.8947368421052632,1.5526315789473684,0.8717948717948718
Celta,37,7,15,16,37,49,-12,0.9736842105263158,1.2894736842105263,1.0
Leganes,36,8,18,12,30,51,-21,0.7894736842105263,1.3421052631578947,0.8333333333333334
Mallorca,33,9,23,6,40,65,-25,1.0526315789473684,1.7105263157894737,1.2121212121212122
Espanol,25,5,23,10,27,58,-31,0.7105263157894737,1.5263157894736843,1.08
