Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Alaves,7,3,9,6,13,20,14,19,40
Ath Bilbao,9,4,12,6,7,21,20,14,24
Ath Madrid,12,6,16,1,3,28,23,11,16
Barcelona,16,9,7,1,5,52,34,16,22
Betis,9,1,11,6,11,34,14,27,33
Celta,5,2,16,6,9,22,15,20,29
Eibar,8,3,9,8,10,25,14,25,31
Espanol,2,3,10,11,12,15,12,31,27
Getafe,8,6,12,5,7,25,18,20,17
Granada,10,6,8,6,8,26,26,16,29
Leganes,5,3,12,9,9,17,13,26,25
Levante,9,5,7,5,12,27,20,19,34
Mallorca,8,1,6,8,15,25,15,22,43
Osasuna,7,6,13,5,7,26,20,29,25
Real Madrid,15,11,9,0,3,40,30,11,14
Sevilla,10,9,13,2,4,26,28,14,20
Sociedad,9,7,8,6,8,33,23,20,28
Valencia,11,3,11,1,12,29,17,16,37
Valladolid,5,4,15,4,10,18,14,15,28
Villarreal,9,9,6,5,9,37,26,25,24
