Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Almeria,6,5,7,7,13,26,17,31,40
Ath Bilbao,13,7,10,2,6,42,24,18,21
Ath Madrid,15,13,6,0,4,49,28,10,16
Barcelona,16,11,6,1,4,64,36,15,18
Betis,5,1,7,11,14,19,17,31,47
Celta,6,8,7,6,11,23,26,23,31
Elche,6,3,13,5,11,13,17,12,38
Espanol,7,4,9,7,11,23,18,22,29
Getafe,6,5,9,7,11,20,15,24,30
Granada,7,5,5,11,10,18,14,22,34
Levante,7,5,12,6,8,19,16,16,27
Malaga,8,4,9,9,8,24,15,21,25
Osasuna,6,4,9,8,11,20,12,25,37
Real Madrid,16,11,6,2,3,63,41,17,21
Sevilla,11,7,9,4,7,40,29,21,31
Sociedad,11,5,11,4,7,38,24,19,36
Valencia,10,3,10,6,9,35,16,24,29
Valladolid,6,1,15,4,12,20,18,17,43
Vallecano,8,5,4,11,10,28,18,36,44
Villarreal,9,8,8,4,9,36,24,21,23
