Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Almeria,3,5,8,9,13,20,15,28,36
Ath Bilbao,8,7,10,5,8,28,14,20,21
Ath Madrid,14,9,9,2,4,42,25,11,18
Barcelona,16,14,4,2,2,64,46,11,10
Celta,8,5,12,6,7,30,17,22,22
Cordoba,1,2,11,12,12,12,10,33,35
Eibar,5,4,8,11,10,20,14,29,26
Elche,6,5,8,10,9,19,16,31,31
Espanol,8,5,10,5,10,23,24,19,32
Getafe,6,4,7,8,13,16,17,22,42
Granada,4,3,14,5,12,13,16,17,47
La Coruna,5,2,14,8,9,22,13,30,30
Levante,6,3,10,7,12,20,14,30,37
Malaga,8,6,8,5,11,26,16,20,28
Real Madrid,16,14,2,1,5,65,53,15,23
Sevilla,13,10,7,1,7,38,33,13,32
Sociedad,9,2,13,5,9,29,15,21,30
Valencia,15,7,11,1,4,42,28,10,22
Vallecano,8,7,4,9,10,26,20,26,42
Villarreal,12,4,12,6,4,29,19,17,20
