Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Ath Madrid,86,26,4,8,67,25,42,1.763157894736842,0.6578947368421053,0.7790697674418605
Real Madrid,84,25,4,9,67,28,39,1.763157894736842,0.7368421052631579,0.7976190476190477
Barcelona,79,24,7,7,85,38,47,2.236842105263158,1.0,1.0759493670886076
Sevilla,77,24,9,5,53,33,20,1.394736842105263,0.868421052631579,0.6883116883116883
Sociedad,62,17,10,11,59,38,21,1.5526315789473684,1.0,0.9516129032258065
Betis,61,17,11,10,50,50,0,1.3157894736842106,1.3157894736842106,0.819672131147541
Villarreal,58,15,10,13,60,44,16,1.5789473684210527,1.1578947368421053,1.0344827586206897
Celta,53,14,13,11,55,57,-2,1.4473684210526316,1.5,1.0377358490566038
Ath Bilbao,46,11,14,13,46,42,4,1.2105263157894737,1.105263157894737,1.0
Granada,46,13,18,7,47,65,-18,1.236842105263158,1.7105263157894737,1.0217391304347827
Cadiz,44,11,16,11,36,58,-22,0.9473684210526315,1.5263157894736843,0.8181818181818182
Osasuna,44,11,16,11,37,48,-11,0.9736842105263158,1.263157894736842,0.8409090909090909
Valencia,43,10,15,13,50,53,-3,1.3157894736842106,1.394736842105263,1.1627906976744187
Levante,41,9,15,14,46,57,-11,1.2105263157894737,1.5,1.1219512195121952
Alaves,38,9,18,11,36,57,-21,0.9473684210526315,1.5,0.9473684210526315
Getafe,38,9,18,11,28,43,-15,0.7368421052631579,1.131578947368421,0.7368421052631579
Elche,36,8,18,12,34,55,-21,0.8947368421052632,1.4473684210526316,0.9444444444444444
Huesca,34,7,18,13,34,53,-19,0.8947368421052632,1.394736842105263,1.0
Valladolid,31,5,17,16,34,57,-23,0.8947368421052632,1.5,1.096774193548387
Eibar,30,6,20,12,29,52,-23,0.7631578947368421,1.368421052631579,0.9666666666666667
