Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Alaves,6,3,11,7,11,21,15,25,32
Ath Bilbao,8,3,13,5,9,29,17,19,23
Ath Madrid,15,11,8,1,3,41,26,11,14
Barcelona,11,13,7,3,4,44,41,20,18
Betis,10,7,10,4,7,27,23,21,29
Cadiz,5,6,11,9,7,17,19,30,28
Celta,9,5,11,7,6,30,25,30,27
Eibar,2,4,12,10,10,12,17,21,31
Elche,5,3,12,6,12,18,16,23,32
Getafe,6,3,11,7,11,15,13,13,30
Granada,9,4,7,6,12,25,22,25,40
Huesca,5,2,13,7,11,17,17,21,32
Levante,5,4,14,5,10,27,19,30,27
Osasuna,7,4,11,7,9,21,16,23,25
Real Madrid,13,12,9,3,1,33,34,13,15
Sevilla,14,10,5,4,5,27,26,11,22
Sociedad,9,8,11,4,6,34,25,21,17
Valencia,8,2,13,4,11,34,16,23,30
Valladolid,3,2,16,9,8,19,15,30,27
Villarreal,8,7,13,5,5,29,31,23,21
