Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals Against points
Bayern Munich,79,25,5,4,80,18,62,2.3529411764705883,0.5294117647058824,1.0126582278481013
Wolfsburg,69,20,5,9,72,38,34,2.1176470588235294,1.1176470588235294,1.0434782608695652
M'gladbach,66,19,6,9,53,26,27,1.5588235294117647,0.7647058823529411,0.803030303030303
Leverkusen,61,17,7,10,62,37,25,1.8235294117647058,1.088235294117647,1.0163934426229508
Augsburg,49,15,15,4,43,43,0,1.2647058823529411,1.2647058823529411,0.8775510204081632
Schalke 04,48,13,12,9,42,40,2,1.2352941176470589,1.1764705882352942,0.875
Dortmund,46,13,14,7,47,42,5,1.3823529411764706,1.2352941176470589,1.0217391304347827
Hoffenheim,44,12,14,8,49,55,-6,1.4411764705882353,1.6176470588235294,1.1136363636363635
Ein Frankfurt,43,11,13,10,56,62,-6,1.6470588235294117,1.8235294117647058,1.302325581395349
Werder Bremen,43,11,13,10,50,65,-15,1.4705882352941178,1.911764705882353,1.1627906976744187
FC Koln,40,9,12,13,34,40,-6,1.0,1.1764705882352942,0.85
Mainz,40,9,12,13,45,47,-2,1.3235294117647058,1.3823529411764706,1.125
Hannover,37,9,15,10,40,56,-16,1.1764705882352942,1.6470588235294117,1.0810810810810811
Stuttgart,36,9,16,9,42,60,-18,1.2352941176470589,1.7647058823529411,1.1666666666666667
Hamburg,35,9,17,8,25,50,-25,0.7352941176470589,1.4705882352941178,0.7142857142857143
Hertha,35,9,17,8,36,52,-16,1.0588235294117647,1.5294117647058822,1.0285714285714285
Freiburg,34,7,14,13,36,47,-11,1.0588235294117647,1.3823529411764706,1.0588235294117647
Paderborn,31,7,17,10,31,65,-34,0.9117647058823529,1.911764705882353,1.0
