Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Barcelona,87,26,3,9,90,36,54,2.3684210526315788,0.9473684210526315,1.0344827586206897
Ath Madrid,76,22,6,10,55,29,26,1.4473684210526316,0.7631578947368421,0.7236842105263158
Real Madrid,68,21,12,5,63,46,17,1.6578947368421053,1.2105263157894737,0.9264705882352942
Valencia,61,15,7,16,51,35,16,1.3421052631578947,0.9210526315789473,0.8360655737704918
Getafe,59,15,9,14,48,35,13,1.263157894736842,0.9210526315789473,0.8135593220338984
Sevilla,59,17,13,8,62,47,15,1.631578947368421,1.236842105263158,1.0508474576271187
Ath Bilbao,53,13,11,14,41,45,-4,1.0789473684210527,1.1842105263157894,0.7735849056603774
Espanol,53,14,13,11,48,50,-2,1.263157894736842,1.3157894736842106,0.9056603773584906
Alaves,50,13,14,11,39,50,-11,1.0263157894736843,1.3157894736842106,0.78
Betis,50,14,16,8,44,52,-8,1.1578947368421053,1.368421052631579,0.88
Sociedad,50,13,14,11,45,46,-1,1.1842105263157894,1.2105263157894737,0.9
Eibar,47,11,13,14,46,50,-4,1.2105263157894737,1.3157894736842106,0.9787234042553191
Leganes,45,11,15,12,37,43,-6,0.9736842105263158,1.131578947368421,0.8222222222222222
Levante,44,11,16,11,59,66,-7,1.5526315789473684,1.736842105263158,1.3409090909090908
Villarreal,44,10,14,14,49,52,-3,1.2894736842105263,1.368421052631579,1.1136363636363635
Celta,41,10,17,11,53,62,-9,1.394736842105263,1.631578947368421,1.2926829268292683
Valladolid,41,10,17,11,32,51,-19,0.8421052631578947,1.3421052631578947,0.7804878048780488
Girona,37,9,19,10,37,53,-16,0.9736842105263158,1.394736842105263,1.0
Huesca,33,7,19,12,43,65,-22,1.131578947368421,1.7105263157894737,1.303030303030303
Vallecano,32,8,22,8,41,70,-29,1.0789473684210527,1.8421052631578947,1.28125
