Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Alaves,7,6,11,4,10,19,20,19,31
Ath Bilbao,9,4,14,2,9,26,15,19,26
Ath Madrid,15,7,10,1,5,32,23,10,19
Barcelona,15,11,9,1,2,51,39,17,19
Betis,8,6,8,6,10,25,19,26,26
Celta,8,2,11,6,11,31,22,25,37
Eibar,9,2,14,4,9,31,15,21,29
Espanol,11,3,11,5,8,28,20,22,28
Getafe,11,4,14,5,4,28,20,13,22
Girona,3,6,10,10,9,17,20,28,25
Huesca,5,2,12,8,11,24,19,30,35
Leganes,7,4,12,4,11,19,18,16,27
Levante,6,5,11,6,10,34,25,34,32
Real Madrid,13,8,5,5,7,32,31,15,31
Sevilla,12,5,8,4,9,39,23,20,27
Sociedad,7,6,11,6,8,23,22,20,26
Valencia,7,8,16,2,5,24,27,12,23
Valladolid,5,5,11,9,8,16,16,26,25
Vallecano,5,3,8,8,14,25,16,32,38
Villarreal,5,5,14,6,8,28,21,26,26
