Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Arsenal,15,4,6,2,11,54,20,20,31
Bournemouth,7,4,11,7,9,26,19,30,31
Brighton,7,2,13,4,12,24,10,25,29
Burnley,7,7,12,7,5,16,20,17,22
Chelsea,11,10,7,4,6,30,32,16,22
Crystal Palace,7,4,11,7,9,29,16,27,28
Everton,10,3,10,5,10,28,16,22,36
Huddersfield,6,3,10,8,11,16,12,25,33
Leicester,7,5,11,6,9,25,31,22,38
Liverpool,12,9,12,0,5,45,39,10,28
Man City,16,16,4,1,1,61,45,14,13
Man United,15,10,6,2,5,38,30,9,19
Newcastle,8,4,8,7,11,21,18,17,30
Southampton,4,3,15,8,8,20,17,26,30
Stoke,5,2,12,9,10,20,15,30,38
Swansea,6,2,9,10,11,17,11,24,32
Tottenham,13,10,8,2,5,40,34,16,20
Watford,7,4,8,6,13,27,17,31,33
West Brom,3,3,13,7,12,21,10,29,27
West Ham,7,3,12,6,10,24,24,26,42
