Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Arsenal,14,7,7,2,8,42,31,16,35
Bournemouth,8,5,6,6,13,30,26,25,45
Brighton,6,3,9,8,12,19,16,28,32
Burnley,7,4,7,10,10,24,21,32,36
Cardiff,6,4,4,11,13,21,13,38,31
Chelsea,12,9,9,1,7,39,24,12,27
Crystal Palace,5,9,7,9,8,19,32,23,30
Everton,10,5,9,5,9,30,24,21,25
Fulham,6,1,5,10,16,22,12,36,45
Huddersfield,2,1,7,14,14,10,12,31,45
Leicester,8,7,7,8,8,24,27,20,28
Liverpool,17,13,7,0,1,55,34,10,12
Man City,18,14,2,1,3,57,38,12,11
Man United,10,9,9,3,7,33,32,25,29
Newcastle,8,4,9,10,7,24,18,25,23
Southampton,5,4,12,6,11,27,18,30,35
Tottenham,12,11,2,5,8,34,33,16,23
Watford,8,6,8,8,8,26,26,28,31
West Ham,9,6,7,6,10,32,20,27,28
Wolves,10,6,9,5,8,28,19,21,25
