Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Man City,98,32,4,2,95,23,72,2.5,0.6052631578947368,0.9693877551020408
Liverpool,97,30,1,7,89,22,67,2.3421052631578947,0.5789473684210527,0.9175257731958762
Chelsea,72,21,8,9,63,39,24,1.6578947368421053,1.0263157894736843,0.875
Tottenham,71,23,13,2,67,39,28,1.763157894736842,1.0263157894736843,0.9436619718309859
Arsenal,70,21,10,7,73,51,22,1.9210526315789473,1.3421052631578947,1.042857142857143
Man United,66,19,10,9,65,54,11,1.7105263157894737,1.4210526315789473,0.9848484848484849
Wolves,57,16,13,9,47,46,1,1.236842105263158,1.2105263157894737,0.8245614035087719
Everton,54,15,14,9,54,46,8,1.4210526315789473,1.2105263157894737,1.0
Leicester,52,15,16,7,51,48,3,1.3421052631578947,1.263157894736842,0.9807692307692307
West Ham,52,15,16,7,52,55,-3,1.368421052631579,1.4473684210526316,1.0
Watford,50,14,16,8,52,59,-7,1.368421052631579,1.5526315789473684,1.04
Crystal Palace,49,14,17,7,51,53,-2,1.3421052631578947,1.394736842105263,1.0408163265306123
Bournemouth,45,13,19,6,56,70,-14,1.4736842105263157,1.8421052631578947,1.2444444444444445
Newcastle,45,12,17,9,42,48,-6,1.105263157894737,1.263157894736842,0.9333333333333333
Burnley,40,11,20,7,45,68,-23,1.1842105263157894,1.7894736842105263,1.125
Southampton,39,9,17,12,45,65,-20,1.1842105263157894,1.7105263157894737,1.1538461538461537
Brighton,36,9,20,9,35,60,-25,0.9210526315789473,1.5789473684210527,0.9722222222222222
Cardiff,34,10,24,4,34,69,-35,0.8947368421052632,1.8157894736842106,1.0
Fulham,26,7,26,5,34,81,-47,0.8947368421052632,2.1315789473684212,1.3076923076923077
Huddersfield,16,3,28,7,22,76,-54,0.5789473684210527,2.0,1.375
