Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Arsenal,12,10,9,2,5,41,30,14,22
Aston Villa,5,5,8,8,12,18,13,25,32
Burnley,4,3,12,8,11,14,14,21,32
Chelsea,15,11,9,0,3,36,37,9,23
Crystal Palace,6,7,9,10,6,21,26,27,24
Everton,7,5,11,5,10,27,21,21,29
Hull,5,3,11,9,10,19,14,24,27
Leicester,7,4,8,7,12,28,18,22,33
Liverpool,10,8,8,4,8,30,22,20,28
Man City,14,10,7,2,5,44,39,14,24
Man United,14,6,10,3,5,41,21,15,22
Newcastle,7,3,9,7,12,26,14,27,36
QPR,6,2,6,8,16,23,19,24,49
Southampton,11,7,6,4,10,37,17,13,20
Stoke,10,5,9,6,8,32,16,22,23
Sunderland,4,3,17,7,7,16,15,27,26
Swansea,9,7,8,5,9,27,19,22,27
Tottenham,10,9,7,6,6,31,27,24,29
West Brom,7,4,11,8,8,24,14,26,25
West Ham,9,3,11,6,9,25,19,18,29
