Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Man United,80,23,4,11,78,37,41,2.0526315789473686,0.9736842105263158,0.975
Chelsea,71,21,9,8,69,33,36,1.8157894736842106,0.868421052631579,0.971830985915493
Man City,71,21,9,8,60,33,27,1.5789473684210527,0.868421052631579,0.8450704225352113
Arsenal,68,19,8,11,72,43,29,1.894736842105263,1.131578947368421,1.0588235294117647
Tottenham,62,16,8,14,55,46,9,1.4473684210526316,1.2105263157894737,0.8870967741935484
Liverpool,58,17,14,7,59,44,15,1.5526315789473684,1.1578947368421053,1.0172413793103448
Everton,54,13,10,15,51,45,6,1.3421052631578947,1.1842105263157894,0.9444444444444444
Fulham,49,11,11,16,49,43,6,1.2894736842105263,1.131578947368421,1.0
Aston Villa,48,12,14,12,48,59,-11,1.263157894736842,1.5526315789473684,1.0
Sunderland,47,12,15,11,45,56,-11,1.1842105263157894,1.4736842105263157,0.9574468085106383
West Brom,47,12,15,11,56,71,-15,1.4736842105263157,1.868421052631579,1.1914893617021276
Bolton,46,12,16,10,52,56,-4,1.368421052631579,1.4736842105263157,1.1304347826086956
Newcastle,46,11,14,13,56,57,-1,1.4736842105263157,1.5,1.2173913043478262
Stoke,46,13,18,7,46,48,-2,1.2105263157894737,1.263157894736842,1.0
Blackburn,43,11,17,10,46,59,-13,1.2105263157894737,1.5526315789473684,1.069767441860465
Wigan,42,9,14,15,40,61,-21,1.0526315789473684,1.605263157894737,0.9523809523809523
Wolves,40,11,20,7,46,66,-20,1.2105263157894737,1.736842105263158,1.15
Birmingham,39,8,15,15,37,58,-21,0.9736842105263158,1.5263157894736843,0.9487179487179487
Blackpool,39,10,19,9,55,78,-23,1.4473684210526316,2.0526315789473686,1.4102564102564104
West Ham,33,7,19,12,43,70,-27,1.131578947368421,1.8421052631578947,1.303030303030303
