Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Arsenal,14,9,6,2,7,39,38,16,28
Bournemouth,9,3,10,6,10,35,20,29,38
Burnley,10,1,7,6,14,26,13,20,35
Chelsea,17,13,3,2,3,55,30,17,16
Crystal Palace,6,6,5,11,10,24,26,25,38
Everton,13,4,10,2,9,42,20,16,28
Hull,8,1,7,7,15,28,9,35,45
Leicester,10,2,8,5,13,31,17,25,38
Liverpool,12,10,10,2,4,45,33,18,24
Man City,11,12,9,1,5,37,43,17,22
Man United,8,10,15,1,4,26,28,12,17
Middlesbrough,4,1,13,9,11,17,10,23,30
Southampton,6,6,10,7,9,17,24,21,27
Stoke,7,4,11,6,10,24,17,24,32
Sunderland,3,3,6,11,15,16,13,34,35
Swansea,8,4,5,8,13,27,18,34,36
Tottenham,17,9,8,0,4,47,39,9,17
Watford,8,3,7,7,13,25,15,29,39
West Brom,9,3,9,8,9,27,16,22,29
West Ham,7,5,9,8,9,19,28,31,33
