Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Arsenal,11,10,10,3,4,47,25,23,14
Aston Villa,5,5,11,9,8,23,24,28,41
Chelsea,12,10,9,2,5,41,34,16,23
Everton,12,4,15,1,6,33,22,17,23
Fulham,7,4,10,9,8,28,22,30,30
Liverpool,9,7,13,4,5,33,38,16,27
Man City,14,9,9,2,4,41,25,15,19
Man United,16,12,5,3,2,45,41,19,24
Newcastle,9,2,8,9,10,24,21,31,37
Norwich,8,2,14,4,10,25,16,20,38
QPR,2,2,13,9,12,13,17,28,32
Reading,4,2,10,7,15,23,20,33,40
Southampton,6,3,14,6,9,26,23,24,36
Stoke,7,2,15,5,9,21,13,22,23
Sunderland,5,4,12,6,11,20,21,19,35
Swansea,6,5,13,5,9,28,19,26,25
Tottenham,11,10,9,3,5,29,37,18,28
West Brom,9,5,7,6,11,32,21,25,32
West Ham,9,3,10,4,12,34,11,22,31
Wigan,4,5,9,9,11,26,21,39,34
