Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Arsenal,11,8,11,4,4,33,39,15,28
Aston Villa,8,4,12,4,10,26,22,19,40
Birmingham,6,2,15,5,10,19,18,22,36
Blackburn,7,4,10,5,12,22,24,16,43
Blackpool,5,5,9,9,10,30,25,37,41
Bolton,10,2,10,4,12,34,18,24,32
Chelsea,14,7,8,2,7,39,30,13,20
Everton,9,4,15,3,7,31,20,23,22
Fulham,8,3,16,4,7,30,19,23,20
Liverpool,12,5,7,3,11,37,22,14,30
Man City,13,8,8,2,7,34,26,12,21
Man United,18,5,11,0,4,49,29,12,25
Newcastle,6,5,13,5,9,41,15,27,30
Stoke,10,3,7,5,13,31,15,18,30
Sunderland,7,5,11,7,8,25,20,27,29
Tottenham,9,7,14,1,7,30,25,19,27
West Brom,8,4,11,5,10,30,26,30,41
West Ham,5,2,12,9,10,24,19,31,39
Wigan,5,4,15,6,8,22,18,34,27
Wolves,8,3,7,7,13,30,16,30,36
