Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Man United,89,28,5,5,86,43,43,2.263157894736842,1.131578947368421,0.9662921348314607
Man City,78,23,6,9,66,34,32,1.736842105263158,0.8947368421052632,0.8461538461538461
Chelsea,75,22,7,9,75,39,36,1.9736842105263157,1.0263157894736843,1.0
Arsenal,73,21,7,10,72,37,35,1.894736842105263,0.9736842105263158,0.9863013698630136
Tottenham,72,21,8,9,66,46,20,1.736842105263158,1.2105263157894737,0.9166666666666666
Everton,63,16,7,15,55,40,15,1.4473684210526316,1.0526315789473684,0.873015873015873
Liverpool,61,16,9,13,71,43,28,1.868421052631579,1.131578947368421,1.1639344262295082
West Brom,49,14,17,7,53,57,-4,1.394736842105263,1.5,1.0816326530612246
Swansea,46,11,14,13,47,51,-4,1.236842105263158,1.3421052631578947,1.0217391304347827
West Ham,46,12,16,10,45,53,-8,1.1842105263157894,1.394736842105263,0.9782608695652174
Norwich,44,10,14,14,41,58,-17,1.0789473684210527,1.5263157894736843,0.9318181818181818
Fulham,43,11,17,10,50,60,-10,1.3157894736842106,1.5789473684210527,1.1627906976744187
Stoke,42,9,14,15,34,45,-11,0.8947368421052632,1.1842105263157894,0.8095238095238095
Aston Villa,41,10,17,11,47,69,-22,1.236842105263158,1.8157894736842106,1.146341463414634
Newcastle,41,11,19,8,45,68,-23,1.1842105263157894,1.7894736842105263,1.0975609756097562
Southampton,41,9,15,14,49,60,-11,1.2894736842105263,1.5789473684210527,1.1951219512195121
Sunderland,39,9,17,12,41,54,-13,1.0789473684210527,1.4210526315789473,1.0512820512820513
Wigan,36,9,20,9,47,73,-26,1.236842105263158,1.9210526315789473,1.3055555555555556
Reading,28,6,22,10,43,73,-30,1.131578947368421,1.9210526315789473,1.5357142857142858
QPR,25,4,21,13,30,60,-30,0.7894736842105263,1.5789473684210527,1.2
