Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Man City,86,27,6,5,102,37,65,2.6842105263157894,0.9736842105263158,1.186046511627907
Liverpool,84,26,6,6,101,50,51,2.6578947368421053,1.3157894736842106,1.2023809523809523
Chelsea,82,25,6,7,71,27,44,1.868421052631579,0.7105263157894737,0.8658536585365854
Arsenal,79,24,7,7,68,41,27,1.7894736842105263,1.0789473684210527,0.8607594936708861
Everton,72,21,8,9,61,39,22,1.605263157894737,1.0263157894736843,0.8472222222222222
Tottenham,69,21,11,6,55,51,4,1.4473684210526316,1.3421052631578947,0.7971014492753623
Man United,64,19,12,7,64,43,21,1.6842105263157894,1.131578947368421,1.0
Southampton,56,15,12,11,54,46,8,1.4210526315789473,1.2105263157894737,0.9642857142857143
Stoke,50,13,14,11,45,52,-7,1.1842105263157894,1.368421052631579,0.9
Newcastle,49,15,19,4,43,59,-16,1.131578947368421,1.5526315789473684,0.8775510204081632
Crystal Palace,45,13,19,6,33,48,-15,0.868421052631579,1.263157894736842,0.7333333333333333
Swansea,42,11,18,9,54,54,0,1.4210526315789473,1.4210526315789473,1.2857142857142858
West Ham,40,11,20,7,40,51,-11,1.0526315789473684,1.3421052631578947,1.0
Aston Villa,38,10,20,8,39,61,-22,1.0263157894736843,1.605263157894737,1.0263157894736843
Sunderland,38,10,20,8,41,60,-19,1.0789473684210527,1.5789473684210527,1.0789473684210527
Hull,37,10,21,7,38,53,-15,1.0,1.394736842105263,1.027027027027027
West Brom,36,7,16,15,43,59,-16,1.131578947368421,1.5526315789473684,1.1944444444444444
Norwich,33,8,21,9,28,62,-34,0.7368421052631579,1.631578947368421,0.8484848484848485
Fulham,32,9,24,5,40,85,-45,1.0526315789473684,2.236842105263158,1.25
Cardiff,30,7,22,9,32,74,-42,0.8421052631578947,1.9473684210526316,1.0666666666666667
