Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Arsenal,12,8,11,3,4,31,34,11,25
Aston Villa,2,1,8,12,15,14,13,35,41
Bournemouth,5,6,9,9,9,23,22,34,33
Chelsea,5,7,14,5,7,32,27,30,23
Crystal Palace,6,5,9,10,8,19,20,23,28
Everton,6,5,14,8,5,35,24,30,25
Leicester,12,11,12,1,2,35,33,18,18
Liverpool,8,8,12,3,7,33,30,22,28
Man City,12,7,9,5,5,47,24,21,20
Man United,12,7,9,2,8,27,22,9,26
Newcastle,7,2,10,5,14,32,12,24,41
Norwich,6,3,7,8,14,26,13,30,37
Southampton,11,7,9,5,6,39,20,22,19
Stoke,8,6,9,7,8,22,19,24,31
Sunderland,6,3,12,7,10,23,25,20,42
Swansea,8,4,11,5,10,20,22,20,32
Tottenham,10,9,13,3,3,35,34,15,20
Watford,6,6,9,7,10,20,20,19,31
West Brom,6,4,13,8,7,20,14,26,22
West Ham,9,7,14,3,5,34,31,26,25
