Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Arsenal,8,10,7,7,6,24,31,21,18
Aston Villa,7,9,7,8,7,29,26,27,19
Brighton,4,5,14,6,9,22,18,22,24
Burnley,4,6,9,9,10,14,19,27,28
Chelsea,9,10,10,4,5,31,27,18,18
Crystal Palace,6,6,8,8,10,20,21,32,34
Everton,6,11,8,9,4,24,23,28,20
Fulham,2,3,13,13,7,9,18,28,25
Leeds,8,10,5,6,9,28,34,21,33
Leicester,9,11,6,9,3,34,34,30,20
Liverpool,10,10,9,6,3,29,39,20,22
Man City,13,14,5,4,2,43,40,17,15
Man United,9,12,11,6,0,38,35,28,16
Newcastle,6,6,9,8,9,26,20,33,29
Sheffield United,5,2,2,13,16,12,8,27,36
Southampton,8,4,7,8,11,28,19,25,43
Tottenham,10,8,8,6,6,35,33,20,25
West Brom,3,2,11,10,12,15,20,39,37
West Ham,10,9,8,5,6,32,30,22,25
Wolves,7,5,9,8,9,21,15,25,27
