Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Chelsea,87,26,3,9,73,32,41,1.9210526315789473,0.8421052631578947,0.8390804597701149
Man City,79,24,7,7,83,38,45,2.1842105263157894,1.0,1.0506329113924051
Arsenal,75,22,7,9,71,36,35,1.868421052631579,0.9473684210526315,0.9466666666666667
Man United,70,20,8,10,62,37,25,1.631578947368421,0.9736842105263158,0.8857142857142857
Tottenham,64,19,12,7,58,53,5,1.5263157894736843,1.394736842105263,0.90625
Liverpool,62,18,12,8,52,48,4,1.368421052631579,1.263157894736842,0.8387096774193549
Southampton,60,18,14,6,54,33,21,1.4210526315789473,0.868421052631579,0.9
Swansea,56,16,14,8,46,49,-3,1.2105263157894737,1.2894736842105263,0.8214285714285714
Stoke,54,15,14,9,48,45,3,1.263157894736842,1.1842105263157894,0.8888888888888888
Crystal Palace,48,13,16,9,47,51,-4,1.236842105263158,1.3421052631578947,0.9791666666666666
Everton,47,12,15,11,48,50,-2,1.263157894736842,1.3157894736842106,1.0212765957446808
West Ham,47,12,15,11,44,47,-3,1.1578947368421053,1.236842105263158,0.9361702127659575
West Brom,44,11,16,11,38,51,-13,1.0,1.3421052631578947,0.8636363636363636
Leicester,41,11,19,8,46,55,-9,1.2105263157894737,1.4473684210526316,1.1219512195121952
Newcastle,39,10,19,9,40,63,-23,1.0526315789473684,1.6578947368421053,1.0256410256410255
Aston Villa,38,10,20,8,31,57,-26,0.8157894736842105,1.5,0.8157894736842105
Sunderland,38,7,14,17,31,53,-22,0.8157894736842105,1.394736842105263,0.8157894736842105
Hull,35,8,19,11,33,51,-18,0.868421052631579,1.3421052631578947,0.9428571428571428
Burnley,33,7,19,12,28,53,-25,0.7368421052631579,1.394736842105263,0.8484848484848485
QPR,30,8,24,6,42,73,-31,1.105263157894737,1.9210526315789473,1.4
