Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Liverpool,99,32,3,3,85,33,52,2.236842105263158,0.868421052631579,0.8585858585858586
Man City,81,26,9,3,102,35,67,2.6842105263157894,0.9210526315789473,1.2592592592592593
Chelsea,66,20,12,6,69,54,15,1.8157894736842106,1.4210526315789473,1.0454545454545454
Man United,66,18,8,12,66,36,30,1.736842105263158,0.9473684210526315,1.0
Leicester,62,18,12,8,67,41,26,1.763157894736842,1.0789473684210527,1.0806451612903225
Tottenham,59,16,11,11,61,47,14,1.605263157894737,1.236842105263158,1.0338983050847457
Wolves,59,15,9,14,51,40,11,1.3421052631578947,1.0526315789473684,0.864406779661017
Arsenal,56,14,10,14,56,48,8,1.4736842105263157,1.263157894736842,1.0
Burnley,54,15,14,9,43,50,-7,1.131578947368421,1.3157894736842106,0.7962962962962963
Sheffield United,54,14,12,12,39,39,0,1.0263157894736843,1.0263157894736843,0.7222222222222222
Southampton,52,15,16,7,51,60,-9,1.3421052631578947,1.5789473684210527,0.9807692307692307
Everton,49,13,15,10,44,56,-12,1.1578947368421053,1.4736842105263157,0.8979591836734694
Newcastle,44,11,16,11,38,58,-20,1.0,1.5263157894736843,0.8636363636363636
Crystal Palace,43,11,17,10,31,50,-19,0.8157894736842105,1.3157894736842106,0.7209302325581395
Brighton,41,9,15,14,39,54,-15,1.0263157894736843,1.4210526315789473,0.9512195121951219
West Ham,39,10,19,9,49,62,-13,1.2894736842105263,1.631578947368421,1.2564102564102564
Aston Villa,35,9,21,8,41,67,-26,1.0789473684210527,1.763157894736842,1.1714285714285715
Bournemouth,34,9,22,7,40,65,-25,1.0526315789473684,1.7105263157894737,1.1764705882352942
Watford,34,8,20,10,36,64,-28,0.9473684210526315,1.6842105263157894,1.0588235294117647
Norwich,21,5,27,6,26,75,-49,0.6842105263157895,1.9736842105263157,1.2380952380952381
