Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Chelsea,93,30,5,3,85,33,52,2.236842105263158,0.868421052631579,0.9139784946236559
Tottenham,86,26,4,8,86,26,60,2.263157894736842,0.6842105263157895,1.0
Man City,78,23,6,9,80,39,41,2.1052631578947367,1.0263157894736843,1.0256410256410255
Liverpool,76,22,6,10,78,42,36,2.0526315789473686,1.105263157894737,1.0263157894736843
Arsenal,75,23,9,6,77,44,33,2.026315789473684,1.1578947368421053,1.0266666666666666
Man United,69,18,5,15,54,29,25,1.4210526315789473,0.7631578947368421,0.782608695652174
Everton,61,17,11,10,62,44,18,1.631578947368421,1.1578947368421053,1.0163934426229508
Bournemouth,46,12,16,10,55,67,-12,1.4473684210526316,1.763157894736842,1.1956521739130435
Southampton,46,12,16,10,41,48,-7,1.0789473684210527,1.263157894736842,0.8913043478260869
West Brom,45,12,17,9,43,51,-8,1.131578947368421,1.3421052631578947,0.9555555555555556
West Ham,45,12,17,9,47,64,-17,1.236842105263158,1.6842105263157894,1.0444444444444445
Leicester,44,12,18,8,48,63,-15,1.263157894736842,1.6578947368421053,1.0909090909090908
Stoke,44,11,16,11,41,56,-15,1.0789473684210527,1.4736842105263157,0.9318181818181818
Crystal Palace,41,12,21,5,50,63,-13,1.3157894736842106,1.6578947368421053,1.2195121951219512
Swansea,41,12,21,5,45,70,-25,1.1842105263157894,1.8421052631578947,1.0975609756097562
Burnley,40,11,20,7,39,55,-16,1.0263157894736843,1.4473684210526316,0.975
Watford,40,11,20,7,40,68,-28,1.0526315789473684,1.7894736842105263,1.0
Hull,34,9,22,7,37,80,-43,0.9736842105263158,2.1052631578947367,1.088235294117647
Middlesbrough,28,5,20,13,27,53,-26,0.7105263157894737,1.394736842105263,0.9642857142857143
Sunderland,24,6,26,6,29,69,-40,0.7631578947368421,1.8157894736842106,1.2083333333333333
