Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Man City,100,32,2,4,106,27,79,2.789473684210526,0.7105263157894737,1.06
Man United,81,25,7,6,68,28,40,1.7894736842105263,0.7368421052631579,0.8395061728395061
Tottenham,77,23,7,8,74,36,38,1.9473684210526316,0.9473684210526315,0.961038961038961
Liverpool,75,21,5,12,84,38,46,2.210526315789474,1.0,1.12
Chelsea,70,21,10,7,62,38,24,1.631578947368421,1.0,0.8857142857142857
Arsenal,63,19,13,6,74,51,23,1.9473684210526316,1.3421052631578947,1.1746031746031746
Burnley,54,14,12,12,36,39,-3,0.9473684210526315,1.0263157894736843,0.6666666666666666
Everton,49,13,15,10,44,58,-14,1.1578947368421053,1.5263157894736843,0.8979591836734694
Leicester,47,12,15,11,56,60,-4,1.4736842105263157,1.5789473684210527,1.1914893617021276
Bournemouth,44,11,16,11,45,61,-16,1.1842105263157894,1.605263157894737,1.0227272727272727
Crystal Palace,44,11,16,11,45,55,-10,1.1842105263157894,1.4473684210526316,1.0227272727272727
Newcastle,44,12,18,8,39,47,-8,1.0263157894736843,1.236842105263158,0.8863636363636364
West Ham,42,10,16,12,48,68,-20,1.263157894736842,1.7894736842105263,1.1428571428571428
Watford,41,11,19,8,44,64,-20,1.1578947368421053,1.6842105263157894,1.0731707317073171
Brighton,40,9,16,13,34,54,-20,0.8947368421052632,1.4210526315789473,0.85
Huddersfield,37,9,19,10,28,58,-30,0.7368421052631579,1.5263157894736843,0.7567567567567568
Southampton,36,7,16,15,37,56,-19,0.9736842105263158,1.4736842105263157,1.0277777777777777
Stoke,33,7,19,12,35,68,-33,0.9210526315789473,1.7894736842105263,1.0606060606060606
Swansea,33,8,21,9,28,56,-28,0.7368421052631579,1.4736842105263157,0.8484848484848485
West Brom,31,6,19,13,31,56,-25,0.8157894736842105,1.4736842105263157,1.0
