Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Man City,86,27,6,5,83,32,51,2.1842105263157894,0.8421052631578947,0.9651162790697675
Man United,74,21,6,11,73,44,29,1.9210526315789473,1.1578947368421053,0.9864864864864865
Liverpool,69,20,9,9,68,42,26,1.7894736842105263,1.105263157894737,0.9855072463768116
Chelsea,67,19,9,10,58,36,22,1.5263157894736843,0.9473684210526315,0.8656716417910447
Leicester,66,20,12,6,68,50,18,1.7894736842105263,1.3157894736842106,1.0303030303030303
West Ham,65,19,11,8,62,47,15,1.631578947368421,1.236842105263158,0.9538461538461539
Tottenham,62,18,12,8,68,45,23,1.7894736842105263,1.1842105263157894,1.096774193548387
Arsenal,61,18,13,7,55,39,16,1.4473684210526316,1.0263157894736843,0.9016393442622951
Everton,59,17,13,8,47,48,-1,1.236842105263158,1.263157894736842,0.7966101694915254
Leeds,59,18,15,5,62,54,8,1.631578947368421,1.4210526315789473,1.0508474576271187
Aston Villa,55,16,15,7,55,46,9,1.4473684210526316,1.2105263157894737,1.0
Newcastle,45,12,17,9,46,62,-16,1.2105263157894737,1.631578947368421,1.0222222222222221
Wolves,45,12,17,9,36,52,-16,0.9473684210526315,1.368421052631579,0.8
Crystal Palace,44,12,18,8,41,66,-25,1.0789473684210527,1.736842105263158,0.9318181818181818
Southampton,43,12,19,7,47,68,-21,1.236842105263158,1.7894736842105263,1.0930232558139534
Brighton,41,9,15,14,40,46,-6,1.0526315789473684,1.2105263157894737,0.975609756097561
Burnley,39,10,19,9,33,55,-22,0.868421052631579,1.4473684210526316,0.8461538461538461
Fulham,28,5,20,13,27,53,-26,0.7105263157894737,1.394736842105263,0.9642857142857143
West Brom,26,5,22,11,35,76,-41,0.9210526315789473,2.0,1.3461538461538463
Sheffield United,23,7,29,2,20,63,-43,0.5263157894736842,1.6578947368421053,0.8695652173913043
