Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Bayern Munich,84,27,4,3,92,28,64,2.7058823529411766,0.8235294117647058,1.0952380952380953
Schalke 04,63,18,7,9,53,37,16,1.5588235294117647,1.088235294117647,0.8412698412698413
Dortmund,55,15,9,10,64,47,17,1.8823529411764706,1.3823529411764706,1.1636363636363636
Hoffenheim,55,15,9,10,66,48,18,1.9411764705882353,1.411764705882353,1.2
Leverkusen,55,15,9,10,58,44,14,1.7058823529411764,1.2941176470588236,1.0545454545454545
RB Leipzig,53,15,11,8,57,53,4,1.6764705882352942,1.5588235294117647,1.0754716981132075
Stuttgart,51,15,13,6,36,36,0,1.0588235294117647,1.0588235294117647,0.7058823529411765
Ein Frankfurt,49,14,13,7,45,45,0,1.3235294117647058,1.3235294117647058,0.9183673469387755
M'gladbach,47,13,13,8,47,52,-5,1.3823529411764706,1.5294117647058822,1.0
Hertha,43,10,11,13,43,46,-3,1.2647058823529411,1.3529411764705883,1.0
Werder Bremen,42,10,12,12,37,40,-3,1.088235294117647,1.1764705882352942,0.8809523809523809
Augsburg,41,10,13,11,43,46,-3,1.2647058823529411,1.3529411764705883,1.048780487804878
Hannover,39,10,15,9,44,54,-10,1.2941176470588236,1.588235294117647,1.1282051282051282
Freiburg,36,8,14,12,32,56,-24,0.9411764705882353,1.6470588235294117,0.8888888888888888
Mainz,36,9,16,9,38,52,-14,1.1176470588235294,1.5294117647058822,1.0555555555555556
Wolfsburg,33,6,13,15,36,48,-12,1.0588235294117647,1.411764705882353,1.0909090909090908
Hamburg,31,8,19,7,29,53,-24,0.8529411764705882,1.5588235294117647,0.9354838709677419
FC Koln,22,5,22,7,35,70,-35,1.0294117647058822,2.0588235294117645,1.5909090909090908
