Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Bayern Munich,13,6,8,2,5,48,33,13,27
Dortmund,12,11,6,1,4,35,32,8,14
Ein Frankfurt,5,4,7,8,10,13,18,24,25
FC Koln,11,2,5,4,12,30,17,21,41
Freiburg,8,5,5,7,9,24,17,24,26
Hamburg,7,5,9,5,8,29,17,24,28
Hannover,12,7,3,4,8,32,17,17,28
Hoffenheim,7,4,10,5,8,28,22,21,29
Kaiserslautern,6,7,7,5,9,25,23,19,32
Leverkusen,9,11,8,3,3,33,31,24,20
M'gladbach,5,5,6,9,9,26,22,31,34
Mainz,8,10,4,7,5,22,30,16,23
Nurnberg,9,4,8,6,7,28,19,19,26
Schalke 04,7,4,7,7,9,24,14,18,26
St Pauli,4,4,5,10,11,21,14,35,33
Stuttgart,7,5,6,8,8,33,27,27,32
Werder Bremen,6,4,11,5,8,26,21,23,38
Wolfsburg,5,4,11,6,8,27,16,26,22
