Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Dortmund,75,23,5,6,67,22,45,1.9705882352941178,0.6470588235294118,0.8933333333333333
Leverkusen,68,20,6,8,64,44,20,1.8823529411764706,1.2941176470588236,0.9411764705882353
Bayern Munich,65,19,7,8,81,40,41,2.3823529411764706,1.1764705882352942,1.2461538461538462
Hannover,60,19,12,3,49,45,4,1.4411764705882353,1.3235294117647058,0.8166666666666667
Mainz,58,18,12,4,52,39,13,1.5294117647058822,1.1470588235294117,0.896551724137931
Nurnberg,47,13,13,8,47,45,2,1.3823529411764706,1.3235294117647058,1.0
Kaiserslautern,46,13,14,7,48,51,-3,1.411764705882353,1.5,1.0434782608695652
Hamburg,45,12,13,9,46,52,-6,1.3529411764705883,1.5294117647058822,1.0222222222222221
FC Koln,44,13,16,5,47,62,-15,1.3823529411764706,1.8235294117647058,1.0681818181818181
Freiburg,44,13,16,5,41,50,-9,1.2058823529411764,1.4705882352941178,0.9318181818181818
Hoffenheim,43,11,13,10,50,50,0,1.4705882352941178,1.4705882352941178,1.1627906976744187
Stuttgart,42,12,16,6,60,59,1,1.7647058823529411,1.7352941176470589,1.4285714285714286
Werder Bremen,41,10,13,11,47,61,-14,1.3823529411764706,1.7941176470588236,1.146341463414634
Schalke 04,40,11,16,7,38,44,-6,1.1176470588235294,1.2941176470588236,0.95
Wolfsburg,38,9,14,11,43,48,-5,1.2647058823529411,1.411764705882353,1.131578947368421
M'gladbach,36,10,18,6,48,65,-17,1.411764705882353,1.911764705882353,1.3333333333333333
Ein Frankfurt,34,9,18,7,31,49,-18,0.9117647058823529,1.4411764705882353,0.9117647058823529
St Pauli,29,8,21,5,35,68,-33,1.0294117647058822,2.0,1.206896551724138
