Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Augsburg,6,4,11,7,6,24,19,24,22
Bayern Munich,14,13,3,1,3,56,36,15,13
Dortmund,9,6,10,4,5,40,24,21,26
Ein Frankfurt,8,6,7,5,8,26,19,19,26
FC Koln,3,2,7,9,13,20,15,30,40
Freiburg,7,1,12,4,10,17,15,17,39
Hamburg,6,2,7,7,12,17,12,19,34
Hannover,8,2,9,6,9,28,16,25,29
Hertha,5,5,13,5,6,23,20,27,19
Hoffenheim,11,4,10,2,7,38,28,16,32
Leverkusen,8,7,10,4,5,29,29,19,25
M'gladbach,9,4,8,4,9,28,19,20,32
Mainz,7,2,9,7,9,22,16,21,31
RB Leipzig,9,6,8,4,7,34,23,26,27
Schalke 04,10,8,9,2,5,27,26,15,22
Stuttgart,10,5,6,3,10,18,18,9,27
Werder Bremen,6,4,12,4,8,20,17,17,23
Wolfsburg,3,3,15,6,7,23,13,25,23
