Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Barcelona,99,31,1,6,98,24,74,2.5789473684210527,0.631578947368421,0.98989898989899
Real Madrid,96,31,4,3,102,35,67,2.6842105263157894,0.9210526315789473,1.0625
Valencia,71,21,9,8,59,40,19,1.5526315789473684,1.0526315789473684,0.8309859154929577
Sevilla,63,19,13,6,65,49,16,1.7105263157894737,1.2894736842105263,1.0317460317460319
Mallorca,62,18,12,8,59,44,15,1.5526315789473684,1.1578947368421053,0.9516129032258065
Getafe,58,17,14,7,58,48,10,1.5263157894736843,1.263157894736842,1.0
Villarreal,56,16,14,8,58,57,1,1.5263157894736843,1.5,1.0357142857142858
Ath Bilbao,54,15,14,9,50,53,-3,1.3157894736842106,1.394736842105263,0.9259259259259259
Ath Madrid,47,13,17,8,57,61,-4,1.5,1.605263157894737,1.2127659574468086
La Coruna,47,13,17,8,35,49,-14,0.9210526315789473,1.2894736842105263,0.7446808510638298
Espanol,44,11,16,11,29,46,-17,0.7631578947368421,1.2105263157894737,0.6590909090909091
Osasuna,43,11,17,10,37,46,-9,0.9736842105263158,1.2105263157894737,0.8604651162790697
Almeria,42,10,16,12,43,55,-12,1.131578947368421,1.4473684210526316,1.0238095238095237
Zaragoza,41,10,17,11,46,64,-18,1.2105263157894737,1.6842105263157894,1.1219512195121952
Sp Gijon,40,9,16,13,36,51,-15,0.9473684210526315,1.3421052631578947,0.9
Santander,39,9,17,12,42,59,-17,1.105263157894737,1.5526315789473684,1.0769230769230769
Malaga,37,7,15,16,42,48,-6,1.105263157894737,1.263157894736842,1.135135135135135
Tenerife,36,9,20,9,40,74,-34,1.0526315789473684,1.9473684210526316,1.1111111111111112
Valladolid,36,7,16,15,37,62,-25,0.9736842105263158,1.631578947368421,1.0277777777777777
Xerez,34,8,20,10,38,66,-28,1.0,1.736842105263158,1.1176470588235294
