Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Real Madrid,85,27,7,4,84,36,48,2.210526315789474,0.9473684210526315,0.9882352941176471
Villarreal,77,24,9,5,63,40,23,1.6578947368421053,1.0526315789473684,0.8181818181818182
Barcelona,67,19,9,10,76,43,33,2.0,1.131578947368421,1.1343283582089552
Ath Madrid,64,19,12,7,66,47,19,1.736842105263158,1.236842105263158,1.03125
Sevilla,64,20,14,4,75,49,26,1.9736842105263157,1.2894736842105263,1.171875
Santander,60,17,12,9,42,41,1,1.105263157894737,1.0789473684210527,0.7
Mallorca,59,15,9,14,69,54,15,1.8157894736842106,1.4210526315789473,1.1694915254237288
Almeria,52,14,14,10,42,45,-3,1.105263157894737,1.1842105263157894,0.8076923076923077
La Coruna,52,15,16,7,46,47,-1,1.2105263157894737,1.236842105263158,0.8846153846153846
Valencia,51,15,17,6,48,62,-14,1.263157894736842,1.631578947368421,0.9411764705882353
Ath Bilbao,50,13,14,11,40,43,-3,1.0526315789473684,1.131578947368421,0.8
Espanol,48,13,16,9,43,53,-10,1.131578947368421,1.394736842105263,0.8958333333333334
Betis,47,12,15,11,45,51,-6,1.1842105263157894,1.3421052631578947,0.9574468085106383
Getafe,47,12,15,11,44,48,-4,1.1578947368421053,1.263157894736842,0.9361702127659575
Valladolid,45,11,15,12,42,57,-15,1.105263157894737,1.5,0.9333333333333333
Recreativo,44,11,16,11,40,60,-20,1.0526315789473684,1.5789473684210527,0.9090909090909091
Osasuna,43,12,19,7,37,44,-7,0.9736842105263158,1.1578947368421053,0.8604651162790697
Zaragoza,42,10,16,12,50,61,-11,1.3157894736842106,1.605263157894737,1.1904761904761905
Murcia,30,7,22,9,36,65,-29,0.9473684210526315,1.7105263157894737,1.2
Levante,26,7,26,5,33,75,-42,0.868421052631579,1.9736842105263157,1.2692307692307692
