Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Almeria,9,5,10,5,9,18,24,14,31
Ath Bilbao,7,6,11,4,10,22,18,14,29
Ath Madrid,12,7,7,5,7,45,21,26,21
Barcelona,14,5,10,3,6,46,30,12,31
Betis,7,5,11,8,7,27,18,26,25
Espanol,8,5,9,8,8,21,22,23,30
Getafe,7,5,11,5,10,24,20,22,26
La Coruna,9,6,7,7,9,24,22,23,24
Levante,5,2,5,10,16,22,11,34,41
Mallorca,9,6,14,4,5,35,34,22,32
Murcia,6,1,9,9,13,21,15,26,39
Osasuna,8,4,7,7,12,25,12,21,23
Real Madrid,17,10,4,2,5,53,31,18,18
Recreativo,6,5,11,6,10,24,16,25,35
Santander,11,6,9,5,7,24,18,18,23
Sevilla,13,7,4,5,9,46,29,20,29
Valencia,7,8,6,9,8,24,24,31,31
Valladolid,6,5,12,4,11,19,23,18,39
Villarreal,12,12,5,2,7,33,30,15,25
Zaragoza,9,1,12,3,13,36,14,24,37
