Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Barcelona,91,29,5,4,112,29,83,2.9473684210526314,0.7631578947368421,1.2307692307692308
Real Madrid,90,28,4,6,110,34,76,2.8947368421052633,0.8947368421052632,1.2222222222222223
Ath Madrid,88,28,6,4,63,18,45,1.6578947368421053,0.47368421052631576,0.7159090909090909
Villarreal,64,18,10,10,44,35,9,1.1578947368421053,0.9210526315789473,0.6875
Ath Bilbao,62,18,12,8,58,45,13,1.5263157894736843,1.1842105263157894,0.9354838709677419
Celta,60,17,12,9,51,59,-8,1.3421052631578947,1.5526315789473684,0.85
Sevilla,52,14,14,10,51,50,1,1.3421052631578947,1.3157894736842106,0.9807692307692307
Malaga,48,12,14,12,38,35,3,1.0,0.9210526315789473,0.7916666666666666
Sociedad,48,13,16,9,45,48,-3,1.1842105263157894,1.263157894736842,0.9375
Betis,45,11,15,12,34,52,-18,0.8947368421052632,1.368421052631579,0.7555555555555555
Las Palmas,44,12,18,8,45,53,-8,1.1842105263157894,1.394736842105263,1.0227272727272727
Valencia,44,11,16,11,46,48,-2,1.2105263157894737,1.263157894736842,1.0454545454545454
Eibar,43,11,17,10,49,61,-12,1.2894736842105263,1.605263157894737,1.1395348837209303
Espanol,43,12,19,7,40,74,-34,1.0526315789473684,1.9473684210526316,0.9302325581395349
La Coruna,42,8,12,18,45,61,-16,1.1842105263157894,1.605263157894737,1.0714285714285714
Granada,39,10,19,9,46,69,-23,1.2105263157894737,1.8157894736842106,1.1794871794871795
Sp Gijon,39,10,19,9,40,62,-22,1.0526315789473684,1.631578947368421,1.0256410256410255
Vallecano,38,9,18,11,52,73,-21,1.368421052631579,1.9210526315789473,1.368421052631579
Getafe,36,9,20,9,37,67,-30,0.9736842105263158,1.763157894736842,1.0277777777777777
Levante,32,8,22,8,37,70,-33,0.9736842105263158,1.8421052631578947,1.15625
