Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Ath Bilbao,11,7,8,4,8,35,23,17,28
Ath Madrid,15,13,4,1,5,33,30,7,11
Barcelona,16,13,4,2,3,67,45,14,15
Betis,6,5,12,7,8,17,17,23,29
Celta,9,8,9,4,8,29,22,25,34
Eibar,8,3,10,6,11,26,23,22,39
Espanol,9,3,7,5,14,22,18,28,46
Getafe,6,3,9,6,14,23,14,20,47
Granada,6,4,9,8,11,26,20,31,38
La Coruna,4,4,18,7,5,25,20,34,27
Las Palmas,8,4,8,6,12,25,20,17,36
Levante,7,1,8,7,15,23,14,26,44
Malaga,8,4,12,5,9,26,12,15,20
Real Madrid,16,12,6,2,2,70,40,16,18
Sevilla,14,0,10,4,10,38,13,21,29
Sociedad,7,6,9,7,9,22,23,20,28
Sp Gijon,7,3,9,8,11,28,12,28,34
Valencia,6,5,11,6,10,25,21,23,25
Vallecano,8,1,11,7,11,29,23,29,44
Villarreal,12,6,10,3,7,26,18,12,23
