Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Bayern Munich,16,5,1,1,24,7,17,0.7058823529411765,0.20588235294117646,1.5
Leverkusen,16,5,1,1,20,7,13,0.5882352941176471,0.20588235294117646,1.25
Dortmund,15,5,2,0,19,13,6,0.5588235294117647,0.38235294117647056,1.2666666666666666
Freiburg,15,4,0,3,11,5,6,0.3235294117647059,0.14705882352941177,0.7333333333333333
Wolfsburg,13,4,2,1,9,8,1,0.2647058823529412,0.23529411764705882,0.6923076923076923
FC Koln,12,3,1,3,13,9,4,0.38235294117647056,0.2647058823529412,1.0833333333333333
Union Berlin,12,3,1,3,10,9,1,0.29411764705882354,0.2647058823529412,0.8333333333333334
M'gladbach,10,3,3,1,9,10,-1,0.2647058823529412,0.29411764705882354,0.9
Mainz,10,3,3,1,7,5,2,0.20588235294117646,0.14705882352941177,0.7
RB Leipzig,10,3,3,1,15,7,8,0.4411764705882353,0.20588235294117646,1.5
Ein Frankfurt,8,1,1,5,8,10,-2,0.23529411764705882,0.29411764705882354,1.0
Hoffenheim,8,2,3,2,12,11,1,0.35294117647058826,0.3235294117647059,1.5
Stuttgart,8,2,3,2,12,13,-1,0.35294117647058826,0.38235294117647056,1.5
Hertha,6,2,5,0,8,20,-12,0.23529411764705882,0.5882352941176471,1.3333333333333333
Augsburg,5,1,4,2,3,13,-10,0.08823529411764706,0.38235294117647056,0.6
Bielefeld,4,0,3,4,3,10,-7,0.08823529411764706,0.29411764705882354,0.75
Bochum,4,1,5,1,4,16,-12,0.11764705882352941,0.47058823529411764,1.0
Greuther Furth,1,0,6,1,5,19,-14,0.14705882352941177,0.5588235294117647,5.0
