Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Bayern Munich,82,26,4,4,100,32,68,2.9411764705882355,0.9411764705882353,1.2195121951219512
Dortmund,69,21,7,6,84,41,43,2.4705882352941178,1.2058823529411764,1.2173913043478262
RB Leipzig,66,18,4,12,81,37,44,2.3823529411764706,1.088235294117647,1.2272727272727273
M'gladbach,65,20,9,5,66,40,26,1.9411764705882353,1.1764705882352942,1.0153846153846153
Leverkusen,63,19,9,6,61,44,17,1.7941176470588236,1.2941176470588236,0.9682539682539683
Hoffenheim,52,15,12,7,53,53,0,1.5588235294117647,1.5588235294117647,1.0192307692307692
Wolfsburg,49,13,11,10,48,46,2,1.411764705882353,1.3529411764705883,0.9795918367346939
Freiburg,48,13,12,9,48,47,1,1.411764705882353,1.3823529411764706,1.0
Ein Frankfurt,45,13,15,6,59,60,-1,1.7352941176470589,1.7647058823529411,1.3111111111111111
Hertha,41,11,15,8,48,59,-11,1.411764705882353,1.7352941176470589,1.170731707317073
Union Berlin,41,12,17,5,41,58,-17,1.2058823529411764,1.7058823529411764,1.0
Schalke 04,39,9,13,12,38,58,-20,1.1176470588235294,1.7058823529411764,0.9743589743589743
Mainz,37,11,19,4,44,65,-21,1.2941176470588236,1.911764705882353,1.1891891891891893
Augsburg,36,9,16,9,45,63,-18,1.3235294117647058,1.8529411764705883,1.25
FC Koln,36,10,18,6,51,69,-18,1.5,2.0294117647058822,1.4166666666666667
Werder Bremen,31,8,19,7,42,69,-27,1.2352941176470589,2.0294117647058822,1.3548387096774193
Fortuna Dusseldorf,30,6,16,12,36,67,-31,1.0588235294117647,1.9705882352941178,1.2
Paderborn,20,4,22,8,37,74,-37,1.088235294117647,2.176470588235294,1.85
