Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Augsburg,5,4,9,7,9,28,17,29,34
Bayern Munich,13,13,4,2,2,53,47,15,17
Dortmund,11,10,6,3,4,46,38,17,24
Ein Frankfurt,8,5,6,5,10,36,23,27,33
FC Koln,6,4,6,7,11,28,23,27,42
Fortuna Dusseldorf,4,2,12,7,9,18,18,28,39
Freiburg,9,4,9,6,6,23,25,17,30
Hertha,6,5,8,8,7,23,25,32,27
Hoffenheim,7,8,7,9,3,26,27,37,16
Leverkusen,9,10,6,4,5,32,29,22,22
M'gladbach,12,8,5,3,6,40,26,21,19
Mainz,5,6,4,10,9,18,26,29,36
Paderborn,2,2,8,13,9,21,16,46,28
RB Leipzig,7,11,12,2,2,38,43,21,16
Schalke 04,5,4,12,5,8,20,18,27,31
Union Berlin,8,4,5,6,11,24,17,20,38
Werder Bremen,2,6,7,12,7,15,27,36,33
Wolfsburg,4,9,10,6,5,19,29,23,23
