Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Almeria,3,3,12,6,14,23,13,35,35
Ath Bilbao,12,6,4,6,10,32,27,20,35
Ath Madrid,10,7,7,6,8,35,27,20,33
Barcelona,16,14,6,1,1,46,49,10,11
Espanol,11,4,4,6,13,33,13,22,33
Getafe,9,3,8,7,11,33,16,26,34
Hercules,7,2,8,7,14,27,9,27,33
La Coruna,8,2,13,5,10,22,9,19,28
Levante,9,3,9,6,11,25,16,20,32
Malaga,7,6,7,9,9,29,25,29,39
Mallorca,9,3,8,6,12,25,16,19,37
Osasuna,10,3,8,3,14,28,17,14,32
Real Madrid,16,13,5,2,2,61,41,12,21
Santander,8,4,10,5,11,25,16,21,35
Sevilla,10,7,7,5,9,35,27,27,34
Sociedad,11,3,3,6,15,27,22,21,45
Sp Gijon,9,2,14,4,9,23,12,16,26
Valencia,10,11,8,4,5,34,30,21,23
Villarreal,13,5,8,3,9,33,21,14,30
Zaragoza,9,3,9,7,10,26,14,27,26
