Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Augsburg,5,3,9,7,10,19,14,22,29
Bayern Munich,14,15,4,1,0,56,42,11,7
Dortmund,10,9,9,4,2,40,41,19,23
Ein Frankfurt,9,5,9,4,7,32,17,23,23
Fortuna Dusseldorf,5,2,9,6,12,24,15,28,29
Freiburg,8,6,9,5,6,25,20,18,22
Greuther Furth,0,4,9,13,8,10,16,36,24
Hamburg,8,6,6,7,7,18,24,18,35
Hannover,9,4,6,3,12,34,26,23,39
Hoffenheim,5,3,7,8,11,21,21,30,37
Leverkusen,12,7,8,2,5,36,29,15,24
M'gladbach,8,4,11,4,7,27,18,20,29
Mainz,7,3,12,5,7,22,20,19,25
Nurnberg,7,4,11,4,8,24,15,19,28
Schalke 04,10,6,7,4,7,35,23,22,28
Stuttgart,5,7,7,8,7,20,17,28,27
Werder Bremen,5,3,10,7,9,23,27,30,36
Wolfsburg,3,7,13,6,5,21,26,30,22
