Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Ath Bilbao,8,4,13,4,9,29,20,21,31
Ath Madrid,11,4,11,3,9,36,17,17,29
Barcelona,17,11,7,1,2,73,41,11,18
Betis,7,6,8,5,12,28,19,25,31
Espanol,9,3,10,6,10,31,15,24,32
Getafe,8,4,11,5,10,24,16,19,32
Granada,8,4,6,6,14,22,13,20,36
Levante,11,5,7,5,10,33,21,19,31
Malaga,13,4,7,3,11,35,19,21,32
Mallorca,9,5,10,5,9,21,21,15,31
Osasuna,10,3,15,3,7,26,18,19,42
Real Madrid,16,16,4,1,1,70,51,19,13
Santander,3,1,15,9,10,11,17,24,39
Sevilla,9,4,11,6,8,32,16,25,22
Sociedad,9,3,11,4,11,29,17,17,35
Sp Gijon,7,3,7,8,13,24,18,26,43
Valencia,11,6,10,4,7,40,19,20,24
Vallecano,8,5,4,10,11,29,24,26,47
Villarreal,6,3,14,3,12,26,13,20,33
Zaragoza,8,4,7,7,12,19,17,24,37
