Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Real Madrid,100,32,2,4,121,32,89,3.1842105263157894,0.8421052631578947,1.21
Barcelona,91,28,3,7,114,29,85,3.0,0.7631578947368421,1.2527472527472527
Valencia,61,17,11,10,59,44,15,1.5526315789473684,1.1578947368421053,0.9672131147540983
Malaga,58,17,14,7,54,53,1,1.4210526315789473,1.394736842105263,0.9310344827586207
Ath Madrid,56,15,12,11,53,46,7,1.394736842105263,1.2105263157894737,0.9464285714285714
Levante,55,16,15,7,54,50,4,1.4210526315789473,1.3157894736842106,0.9818181818181818
Osasuna,54,13,10,15,44,61,-17,1.1578947368421053,1.605263157894737,0.8148148148148148
Mallorca,52,14,14,10,42,46,-4,1.105263157894737,1.2105263157894737,0.8076923076923077
Sevilla,50,13,14,11,48,47,1,1.263157894736842,1.236842105263158,0.96
Ath Bilbao,49,12,13,13,49,52,-3,1.2894736842105263,1.368421052631579,1.0
Betis,47,13,17,8,47,56,-9,1.236842105263158,1.4736842105263157,1.0
Getafe,47,12,15,11,40,51,-11,1.0526315789473684,1.3421052631578947,0.851063829787234
Sociedad,47,12,15,11,46,52,-6,1.2105263157894737,1.368421052631579,0.9787234042553191
Espanol,46,12,16,10,46,56,-10,1.2105263157894737,1.4736842105263157,1.0
Vallecano,43,13,21,4,53,73,-20,1.394736842105263,1.9210526315789473,1.2325581395348837
Zaragoza,43,12,19,7,36,61,-25,0.9473684210526315,1.605263157894737,0.8372093023255814
Granada,42,12,20,6,35,56,-21,0.9210526315789473,1.4736842105263157,0.8333333333333334
Villarreal,41,9,15,14,39,53,-14,1.0263157894736843,1.394736842105263,0.9512195121951219
Sp Gijon,37,10,21,7,42,69,-27,1.105263157894737,1.8157894736842106,1.135135135135135
Santander,27,4,19,15,28,63,-35,0.7368421052631579,1.6578947368421053,1.037037037037037
