Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Barcelona,93,28,1,9,99,29,70,2.6052631578947367,0.7631578947368421,1.064516129032258
Ath Madrid,79,23,5,10,58,22,36,1.5263157894736843,0.5789473684210527,0.7341772151898734
Real Madrid,76,22,6,10,94,44,50,2.473684210526316,1.1578947368421053,1.236842105263158
Valencia,73,22,9,7,65,38,27,1.7105263157894737,1.0,0.8904109589041096
Villarreal,61,18,13,7,57,50,7,1.5,1.3157894736842106,0.9344262295081968
Betis,60,18,14,6,60,61,-1,1.5789473684210527,1.605263157894737,1.0
Sevilla,58,17,14,7,49,58,-9,1.2894736842105263,1.5263157894736843,0.8448275862068966
Getafe,55,15,13,10,42,33,9,1.105263157894737,0.868421052631579,0.7636363636363637
Eibar,51,14,15,9,44,50,-6,1.1578947368421053,1.3157894736842106,0.8627450980392157
Girona,51,14,15,9,50,59,-9,1.3157894736842106,1.5526315789473684,0.9803921568627451
Celta,49,13,15,10,59,60,-1,1.5526315789473684,1.5789473684210527,1.2040816326530612
Espanol,49,12,13,13,36,42,-6,0.9473684210526315,1.105263157894737,0.7346938775510204
Sociedad,49,14,17,7,66,59,7,1.736842105263158,1.5526315789473684,1.346938775510204
Alaves,47,15,21,2,40,50,-10,1.0526315789473684,1.3157894736842106,0.851063829787234
Levante,46,11,14,13,44,58,-14,1.1578947368421053,1.5263157894736843,0.9565217391304348
Ath Bilbao,43,10,15,13,41,49,-8,1.0789473684210527,1.2894736842105263,0.9534883720930233
Leganes,43,12,19,7,34,51,-17,0.8947368421052632,1.3421052631578947,0.7906976744186046
La Coruna,29,6,21,11,38,76,-38,1.0,2.0,1.3103448275862069
Las Palmas,22,5,26,7,24,74,-50,0.631578947368421,1.9473684210526316,1.0909090909090908
Malaga,20,5,28,5,24,61,-37,0.631578947368421,1.605263157894737,1.2
