Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Alaves,9,6,2,9,12,21,19,23,27
Ath Bilbao,6,4,13,5,10,19,22,16,33
Ath Madrid,12,11,10,1,4,30,28,8,14
Barcelona,16,12,9,0,1,53,46,11,18
Betis,10,8,6,5,9,35,25,31,30
Celta,8,5,10,3,12,34,25,23,37
Eibar,8,6,9,7,8,26,18,19,31
Espanol,8,4,13,5,8,20,16,16,26
Getafe,9,6,10,6,7,26,16,13,20
Girona,8,6,9,8,7,26,24,22,37
La Coruna,4,2,11,9,12,22,16,33,43
Las Palmas,4,1,7,13,13,15,9,38,36
Leganes,9,3,7,6,13,19,15,19,32
Levante,7,4,13,6,8,25,19,28,30
Malaga,4,1,5,12,16,14,10,27,34
Real Madrid,12,10,10,3,3,54,40,20,24
Sevilla,11,6,7,3,11,31,18,22,36
Sociedad,10,4,7,6,11,47,19,29,30
Valencia,13,9,7,3,6,36,29,16,22
Villarreal,11,7,7,5,8,35,22,22,28
