Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals Against points
Bayern Munich,90,29,2,3,94,23,71,2.764705882352941,0.6764705882352942,1.0444444444444445
Dortmund,71,22,7,5,80,38,42,2.3529411764705883,1.1176470588235294,1.1267605633802817
Schalke 04,64,19,8,7,63,43,20,1.8529411764705883,1.2647058823529411,0.984375
Leverkusen,61,19,11,4,60,41,19,1.7647058823529411,1.2058823529411764,0.9836065573770492
Wolfsburg,60,18,10,6,63,50,13,1.8529411764705883,1.4705882352941178,1.05
M'gladbach,55,16,11,7,59,43,16,1.7352941176470589,1.2647058823529411,1.0727272727272728
Mainz,53,16,13,5,52,54,-2,1.5294117647058822,1.588235294117647,0.9811320754716981
Augsburg,52,15,12,7,47,47,0,1.3823529411764706,1.3823529411764706,0.9038461538461539
Hoffenheim,44,11,12,11,72,70,2,2.1176470588235294,2.0588235294117645,1.6363636363636365
Hannover,42,12,16,6,46,59,-13,1.3529411764705883,1.7352941176470589,1.0952380952380953
Hertha,41,11,15,8,40,48,-8,1.1764705882352942,1.411764705882353,0.975609756097561
Werder Bremen,39,10,15,9,42,66,-24,1.2352941176470589,1.9411764705882353,1.0769230769230769
Ein Frankfurt,36,9,16,9,40,57,-17,1.1764705882352942,1.6764705882352942,1.1111111111111112
Freiburg,36,9,16,9,43,61,-18,1.2647058823529411,1.7941176470588236,1.1944444444444444
Stuttgart,32,8,18,8,49,62,-13,1.4411764705882353,1.8235294117647058,1.53125
Hamburg,27,7,21,6,51,75,-24,1.5,2.2058823529411766,1.8888888888888888
Nurnberg,26,5,18,11,37,70,-33,1.088235294117647,2.0588235294117645,1.4230769230769231
Braunschweig,25,6,21,7,29,60,-31,0.8529411764705882,1.7647058823529411,1.16
