Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Barcelona,100,32,2,4,115,40,75,3.026315789473684,1.0526315789473684,1.15
Real Madrid,85,26,5,7,103,42,61,2.710526315789474,1.105263157894737,1.2117647058823529
Ath Madrid,76,23,8,7,65,31,34,1.7105263157894737,0.8157894736842105,0.8552631578947368
Sociedad,66,18,8,12,70,49,21,1.8421052631578947,1.2894736842105263,1.0606060606060606
Valencia,65,19,11,8,67,54,13,1.763157894736842,1.4210526315789473,1.0307692307692307
Malaga,57,16,13,9,53,50,3,1.394736842105263,1.3157894736842106,0.9298245614035088
Betis,56,16,14,8,57,56,1,1.5,1.4736842105263157,1.0178571428571428
Vallecano,53,16,17,5,50,66,-16,1.3157894736842106,1.736842105263158,0.9433962264150944
Sevilla,50,14,16,8,58,54,4,1.5263157894736843,1.4210526315789473,1.16
Getafe,47,13,17,8,43,57,-14,1.131578947368421,1.5,0.9148936170212766
Levante,46,12,16,10,40,57,-17,1.0526315789473684,1.5,0.8695652173913043
Ath Bilbao,45,12,17,9,44,65,-21,1.1578947368421053,1.7105263157894737,0.9777777777777777
Espanol,44,11,16,11,43,52,-9,1.131578947368421,1.368421052631579,0.9772727272727273
Valladolid,43,11,17,10,49,58,-9,1.2894736842105263,1.5263157894736843,1.1395348837209303
Granada,42,11,18,9,37,54,-17,0.9736842105263158,1.4210526315789473,0.8809523809523809
Osasuna,39,10,19,9,33,50,-17,0.868421052631579,1.3157894736842106,0.8461538461538461
Celta,37,10,21,7,37,52,-15,0.9736842105263158,1.368421052631579,1.0
Mallorca,36,9,20,9,43,72,-29,1.131578947368421,1.894736842105263,1.1944444444444444
La Coruna,35,8,19,11,47,70,-23,1.236842105263158,1.8421052631578947,1.3428571428571427
Zaragoza,34,9,22,7,37,62,-25,0.9736842105263158,1.631578947368421,1.088235294117647
