Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Ath Bilbao,8,4,9,8,9,22,22,27,38
Ath Madrid,14,9,7,3,5,42,23,12,19
Barcelona,18,14,4,0,2,63,52,15,25
Betis,9,7,8,5,9,28,29,18,38
Celta,7,3,7,6,15,23,14,21,31
Espanol,6,5,11,6,10,25,18,28,24
Getafe,9,4,8,6,11,25,18,23,34
Granada,6,5,9,7,11,21,16,21,33
La Coruna,6,2,11,8,11,23,24,26,44
Levante,8,4,10,7,9,25,15,26,31
Malaga,10,6,9,4,9,33,20,18,32
Mallorca,7,2,9,7,13,26,17,30,42
Osasuna,7,3,9,7,12,15,18,14,36
Real Madrid,17,9,7,0,5,67,36,21,21
Sevilla,13,1,8,5,11,41,17,21,33
Sociedad,10,8,12,2,6,41,29,22,27
Valencia,13,6,8,3,8,42,25,25,29
Valladolid,7,4,10,6,11,29,20,26,32
Vallecano,9,7,5,7,10,27,23,29,37
Zaragoza,5,4,7,10,12,23,14,27,35
