Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Bayern Munich,78,24,4,6,99,44,55,2.911764705882353,1.2941176470588236,1.2692307692307692
RB Leipzig,65,19,7,8,60,32,28,1.7647058823529411,0.9411764705882353,0.9230769230769231
Dortmund,64,20,10,4,75,46,29,2.2058823529411766,1.3529411764705883,1.171875
Wolfsburg,61,17,7,10,61,37,24,1.7941176470588236,1.088235294117647,1.0
Ein Frankfurt,60,16,6,12,69,53,16,2.0294117647058822,1.5588235294117647,1.15
Leverkusen,52,14,10,10,53,39,14,1.5588235294117647,1.1470588235294117,1.0192307692307692
Union Berlin,50,12,8,14,50,43,7,1.4705882352941178,1.2647058823529411,1.0
M'gladbach,49,13,11,10,64,56,8,1.8823529411764706,1.6470588235294117,1.3061224489795917
Freiburg,45,12,13,9,52,52,0,1.5294117647058822,1.5294117647058822,1.1555555555555554
Stuttgart,45,12,13,9,56,55,1,1.6470588235294117,1.6176470588235294,1.2444444444444445
Hoffenheim,43,11,13,10,52,54,-2,1.5294117647058822,1.588235294117647,1.2093023255813953
Mainz,39,10,15,9,39,56,-17,1.1470588235294117,1.6470588235294117,1.0
Augsburg,36,10,18,6,36,54,-18,1.0588235294117647,1.588235294117647,1.0
Bielefeld,35,9,17,8,26,52,-26,0.7647058823529411,1.5294117647058822,0.7428571428571429
Hertha,35,8,15,11,41,52,-11,1.2058823529411764,1.5294117647058822,1.1714285714285715
FC Koln,33,8,17,9,34,60,-26,1.0,1.7647058823529411,1.0303030303030303
Werder Bremen,31,7,17,10,36,57,-21,1.0588235294117647,1.6764705882352942,1.1612903225806452
Schalke 04,16,3,24,7,25,86,-61,0.7352941176470589,2.5294117647058822,1.5625
