Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Augsburg,6,4,6,7,11,21,15,25,29
Bayern Munich,13,11,6,0,4,64,35,21,23
Bielefeld,6,3,8,9,8,13,13,23,29
Dortmund,11,9,4,4,6,40,35,20,26
Ein Frankfurt,10,6,12,0,6,37,32,20,33
FC Koln,3,5,9,9,8,20,14,31,29
Freiburg,7,5,9,4,9,33,19,23,29
Hertha,5,3,11,7,8,21,20,26,26
Hoffenheim,8,3,10,6,7,32,20,24,30
Leverkusen,8,6,10,4,6,34,19,22,17
M'gladbach,8,5,10,5,6,32,32,19,37
Mainz,4,6,9,9,6,16,23,26,30
RB Leipzig,11,8,8,2,5,29,31,13,19
Schalke 04,3,0,7,11,13,14,11,34,52
Stuttgart,5,7,9,6,7,27,29,26,29
Union Berlin,8,4,14,1,7,32,18,18,25
Werder Bremen,3,4,10,9,8,16,20,28,29
Wolfsburg,10,7,10,3,4,32,29,16,21
