Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Alaves,3,1,1,4,3,5,3,9,6
Ath Bilbao,3,1,6,2,0,7,4,5,3
Ath Madrid,3,3,5,0,1,10,11,4,9
Barcelona,4,0,5,1,2,15,4,8,7
Betis,3,3,3,2,2,12,7,9,8
Cadiz,0,2,6,3,2,4,8,9,10
Celta,1,2,3,5,2,6,7,11,6
Elche,1,1,5,1,5,6,5,6,11
Espanol,4,0,5,1,3,9,5,4,9
Getafe,1,0,3,4,5,4,2,9,10
Granada,1,1,5,2,3,6,5,7,9
Levante,0,0,6,2,5,6,6,11,14
Mallorca,2,1,6,1,3,8,5,7,12
Osasuna,1,4,4,3,1,4,10,10,7
Real Madrid,3,5,3,0,1,13,15,4,9
Sevilla,5,3,3,0,1,15,6,4,3
Sociedad,4,4,4,0,1,5,14,1,9
Valencia,3,1,5,1,3,13,8,8,12
Vallecano,5,1,2,0,5,13,6,2,12
Villarreal,3,0,6,1,2,11,3,6,6
