Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Sociedad,28,8,1,4,19,10,9,0.5,0.2631578947368421,0.6785714285714286
Real Madrid,27,8,1,3,28,13,15,0.7368421052631579,0.34210526315789475,1.037037037037037
Sevilla,27,8,1,3,21,7,14,0.5526315789473685,0.18421052631578946,0.7777777777777778
Ath Madrid,23,6,1,5,21,13,8,0.5526315789473685,0.34210526315789475,0.9130434782608695
Betis,21,6,4,3,19,17,2,0.5,0.4473684210526316,0.9047619047619048
Vallecano,20,6,5,2,19,14,5,0.5,0.3684210526315789,0.95
Osasuna,19,5,4,4,14,17,-3,0.3684210526315789,0.4473684210526316,0.7368421052631579
Ath Bilbao,18,4,2,6,11,8,3,0.2894736842105263,0.21052631578947367,0.6111111111111112
Barcelona,17,4,3,5,19,15,4,0.5,0.39473684210526316,1.1176470588235294
Espanol,17,4,4,5,14,13,1,0.3684210526315789,0.34210526315789475,0.8235294117647058
Valencia,17,4,4,5,21,20,1,0.5526315789473685,0.5263157894736842,1.2352941176470589
Mallorca,15,3,4,6,13,19,-6,0.34210526315789475,0.5,0.8666666666666667
Villarreal,15,3,3,6,14,12,2,0.3684210526315789,0.3157894736842105,0.9333333333333333
Alaves,13,4,7,1,8,15,-7,0.21052631578947367,0.39473684210526316,0.6153846153846154
Cadiz,12,2,5,6,12,19,-7,0.3157894736842105,0.5,1.0
Celta,12,3,7,3,13,17,-4,0.34210526315789475,0.4473684210526316,1.0833333333333333
Elche,11,2,6,5,11,17,-6,0.2894736842105263,0.4473684210526316,1.0
Granada,11,2,5,5,11,16,-5,0.2894736842105263,0.42105263157894735,1.0
Getafe,6,1,9,3,6,19,-13,0.15789473684210525,0.5,1.0
Levante,6,0,7,6,12,25,-13,0.3157894736842105,0.6578947368421053,2.0
