Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Augsburg,5,4,11,6,8,22,13,25,26
Bayern Munich,13,12,7,0,2,55,34,9,13
Darmstadt,6,1,4,8,15,18,10,25,38
Dortmund,13,5,10,0,6,41,31,12,28
Ein Frankfurt,7,4,9,3,11,24,12,18,25
FC Koln,9,3,13,2,7,29,22,17,25
Freiburg,10,4,6,5,9,23,19,24,36
Hamburg,8,2,8,5,11,21,12,25,36
Hertha,12,3,4,4,11,28,15,19,28
Hoffenheim,11,5,14,0,4,35,29,14,23
Ingolstadt,4,4,8,8,10,21,15,30,27
Leverkusen,5,6,8,6,9,27,26,28,27
M'gladbach,7,5,9,5,8,26,19,18,31
Mainz,7,3,7,6,11,30,14,26,29
RB Leipzig,12,8,7,3,4,35,31,16,23
Schalke 04,8,3,10,4,9,29,16,15,25
Werder Bremen,8,5,6,8,7,28,33,24,40
Wolfsburg,5,5,7,9,8,15,19,25,27
