Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals Against points
Bayern Munich,70,20,4,10,72,31,41,2.1176470588235294,0.9117647058823529,1.0285714285714285
Schalke 04,65,19,7,8,53,31,22,1.5588235294117647,0.9117647058823529,0.8153846153846154
Werder Bremen,61,17,7,10,71,40,31,2.088235294117647,1.1764705882352942,1.1639344262295082
Leverkusen,59,15,5,14,65,38,27,1.911764705882353,1.1176470588235294,1.1016949152542372
Dortmund,57,16,9,9,54,42,12,1.588235294117647,1.2352941176470589,0.9473684210526315
Stuttgart,55,15,9,10,51,41,10,1.5,1.2058823529411764,0.9272727272727272
Hamburg,52,13,8,13,56,41,15,1.6470588235294117,1.2058823529411764,1.0769230769230769
Wolfsburg,50,14,12,8,64,58,6,1.8823529411764706,1.7058823529411764,1.28
Mainz,47,12,11,11,36,42,-6,1.0588235294117647,1.2352941176470589,0.7659574468085106
Ein Frankfurt,46,12,12,10,47,54,-7,1.3823529411764706,1.588235294117647,1.0217391304347827
Hoffenheim,42,11,14,9,44,42,2,1.2941176470588236,1.2352941176470589,1.0476190476190477
M'gladbach,39,10,15,9,43,60,-17,1.2647058823529411,1.7647058823529411,1.1025641025641026
FC Koln,38,9,14,11,33,42,-9,0.9705882352941176,1.2352941176470589,0.868421052631579
Freiburg,35,9,17,8,35,59,-24,1.0294117647058822,1.7352941176470589,1.0
Hannover,33,9,19,6,43,67,-24,1.2647058823529411,1.9705882352941178,1.303030303030303
Nurnberg,31,8,19,7,32,58,-26,0.9411764705882353,1.7058823529411764,1.032258064516129
Bochum,28,6,18,10,33,64,-31,0.9705882352941176,1.8823529411764706,1.1785714285714286
Hertha,24,5,20,9,34,56,-22,1.0,1.6470588235294117,1.4166666666666667
